pack,source_file,chunk_id,domain,topic,chunk_type,risk_level,free_tier_access,standard_tier_access,premium_tier_access,recommended_free_response,restriction_reason,content_preview
Assertiveness,santum_ai_cbt_assertiveness_vector_index_v1_EMBED_READY.json,cbt_assertiveness_m04_cbt_exercise_015,cbt_assertiveness,physical_tension,cbt_exercise,low,deny,allow,allow,upgrade_prompt,explicit_cbt_exercise,I told me another 5 need to keep calmer. minutes later Centrelinical for C Interventions • • ---------------------------------------------------------------------------------------
Assertiveness,santum_ai_cbt_assertiveness_vector_index_v1_EMBED_READY.json,cbt_assertiveness_m05_cbt_exercise_003,cbt_assertiveness,physical_tension,cbt_exercise,low,deny,allow,allow,upgrade_prompt,explicit_cbt_exercise,You may want to repeat this exercise when you are in a more stressful situation to see if you are tense in the same areas or different ones. Centrelinical for C Interventions • • -
Assertiveness,santum_ai_cbt_assertiveness_vector_index_v1_EMBED_READY.json,cbt_assertiveness_m05_cbt_exercise_004,cbt_assertiveness,physical_tension,cbt_exercise,low,deny,allow,allow,upgrade_prompt,explicit_cbt_exercise,Some of these are listed below: • Exercise • Meditation • Massage • Guided Visualisation • Progressive Muscle Relaxation • Slow breathing • Yoga • Tai chi See if you can think of s
Assertiveness,santum_ai_cbt_assertiveness_vector_index_v1_EMBED_READY.json,cbt_assertiveness_m05_cbt_exercise_006,cbt_assertiveness,physical_tension,cbt_exercise,low,deny,allow,allow,upgrade_prompt,explicit_cbt_exercise,As we move through each body part you can use the same pattern of tensing and relaxing. When tensing a body part hold the tension for about 10 seconds. Then let the tension go and 
Assertiveness,santum_ai_cbt_assertiveness_vector_index_v1_EMBED_READY.json,cbt_assertiveness_m05_cbt_exercise_007,cbt_assertiveness,physical_tension,cbt_exercise,low,deny,allow,allow,upgrade_prompt,explicit_cbt_exercise,To work through the whole exercise should take about 15 to 20 minutes. Put both your feet flat on the floor and rest your hands gently on your legs. Allow your eyes to gently close
Assertiveness,santum_ai_cbt_assertiveness_vector_index_v1_EMBED_READY.json,cbt_assertiveness_m05_cbt_exercise_008,cbt_assertiveness,relaxation,cbt_exercise,low,deny,allow,allow,upgrade_prompt,explicit_cbt_exercise,Centrelinical for C Interventions • • --------------------------------------------------------------------------------------------------------------ASSERT YOURSELF! Now bend your e
Assertiveness,santum_ai_cbt_assertiveness_vector_index_v1_EMBED_READY.json,cbt_assertiveness_m05_cbt_exercise_009,cbt_assertiveness,physical_tension,cbt_exercise,low,deny,allow,allow,upgrade_prompt,explicit_cbt_exercise,"This exercise should not cause any pain. If you feel pain you are stretching the muscles too tightly, and you need to be a little gentler. Now move your attention to your head. Wri"
Assertiveness,santum_ai_cbt_assertiveness_vector_index_v1_EMBED_READY.json,cbt_assertiveness_m05_cbt_exercise_011,cbt_assertiveness,relaxation,cbt_exercise,low,deny,allow,allow,upgrade_prompt,explicit_cbt_exercise,Tense your calves by lifting your toes towards your shin. Tense your feet by curling your toes into the floor. When you have finished it is a good idea to stay sitting for a few mi
Assertiveness,santum_ai_cbt_assertiveness_vector_index_v1_EMBED_READY.json,cbt_assertiveness_m05_cbt_exercise_012,cbt_assertiveness,physical_tension,cbt_exercise,low,deny,allow,allow,upgrade_prompt,explicit_cbt_exercise,"Lips closed, jaw relaxed, breathe slow and low down in your stomach 3. Breathe in for 2 seconds and out for 3 seconds. Be aware of your breathing for the whole exercise and keep it"
Assertiveness,santum_ai_cbt_assertiveness_vector_index_v1_EMBED_READY.json,cbt_assertiveness_m05_cbt_exercise_013,cbt_assertiveness,physical_tension,cbt_exercise,low,deny,allow,allow,upgrade_prompt,explicit_cbt_exercise,"Take two or three breaths to let go of all the tension. Repeat steps ‘3’ to ‘8’ until you feel relaxed. Slow Breathing Technique Sit comfortably with your arms and legs uncrossed, "
Assertiveness,santum_ai_cbt_assertiveness_vector_index_v1_EMBED_READY.json,cbt_assertiveness_m05_cbt_exercise_014,cbt_assertiveness,body_awareness,cbt_exercise,low,deny,allow,allow,upgrade_prompt,explicit_cbt_exercise,"Now that you are paying attention to your breath, you can begin the counting rhythm of breathing in for three seconds and out for three seconds. This will produce a breathing rate "
Assertiveness,santum_ai_cbt_assertiveness_vector_index_v1_EMBED_READY.json,cbt_assertiveness_m05_cbt_exercise_015,cbt_assertiveness,calm_assertiveness,cbt_exercise,low,deny,allow,allow,upgrade_prompt,explicit_cbt_exercise,Please have a look at the module on breathing and breathing physiology in the modules on panic called “Don’t Panic!” on our website.) Visualisation Visualisation uses the power of 
Assertiveness,santum_ai_cbt_assertiveness_vector_index_v1_EMBED_READY.json,cbt_assertiveness_m05_cbt_exercise_018,cbt_assertiveness,physical_tension,cbt_exercise,low,deny,allow,allow,upgrade_prompt,explicit_cbt_exercise,"Hear the waves, the sounds of the birds, other people. Taste the salt in the air. Use self statements to aid your relaxation. Use the present tense and avoid negatives. For example"
Assertiveness,santum_ai_cbt_assertiveness_vector_index_v1_EMBED_READY.json,cbt_assertiveness_m05_cbt_exercise_019,cbt_assertiveness,physical_tension,cbt_exercise,low,deny,allow,allow,upgrade_prompt,explicit_cbt_exercise,"In extreme cases it can lead to pain and stress related illness. • There are a number of ways to reduce physical tension. These include meditation, exercise, tai chi, massage, visu"
Assertiveness,santum_ai_cbt_assertiveness_vector_index_v1_EMBED_READY.json,cbt_assertiveness_m05_cbt_exercise_021,cbt_assertiveness,saying_no,cbt_exercise,low,deny,allow,allow,upgrade_prompt,explicit_cbt_exercise,"Back, R & Back, K. (1986). Assertiveness at Work – A Practical guide to Handling Awkward Situations. Davis, M., Eshelman, E.R. & McKay, M. (2000). The Relaxation and Stress Reducti"
Assertiveness,santum_ai_cbt_assertiveness_vector_index_v1_EMBED_READY.json,cbt_assertiveness_m06_cbt_exercise_002,cbt_assertiveness,guilt_and_obligation,cbt_exercise,low,deny,allow,allow,upgrade_prompt,explicit_cbt_exercise,Now saying “Yes” to something you don’t really want to do can be appropriate in some situations. For example in a work situation if your boss asks you to do something and you don’t
Assertiveness,santum_ai_cbt_assertiveness_vector_index_v1_EMBED_READY.json,cbt_assertiveness_m06_cbt_exercise_012,cbt_assertiveness,dealing_with_criticism,cbt_exercise,low,deny,allow,allow,upgrade_prompt,explicit_cbt_exercise,"These include the direct no, the enquiring no, the raincheck no, the reasoned no, and the broken record no. Coming up: The next module talks about how to deal with criticism assert"
Assertiveness,santum_ai_cbt_assertiveness_vector_index_v1_EMBED_READY.json,cbt_assertiveness_m07_cbt_exercise_012,cbt_assertiveness,dealing_with_criticism,cbt_exercise,low,deny,allow,allow,upgrade_prompt,explicit_cbt_exercise,"If someone criticises you but you are not sure if the criticism is valid or constructive you ask for more details. For example: Criticism: “You’ll find that difficult won’t you, be"
Assertiveness,santum_ai_cbt_assertiveness_vector_index_v1_EMBED_READY.json,cbt_assertiveness_m07_cbt_exercise_017,cbt_assertiveness,dealing_with_criticism,cbt_exercise,low,deny,allow,allow,upgrade_prompt,explicit_cbt_exercise,It is important when you are being criticized to separate the suggestions in the criticism from the way that they are being spoken to you. Often when people are giving criticism th
Assertiveness,santum_ai_cbt_assertiveness_vector_index_v1_EMBED_READY.json,cbt_assertiveness_m07_cbt_exercise_024,cbt_assertiveness,saying_no,cbt_exercise,low,deny,allow,allow,upgrade_prompt,explicit_cbt_exercise,"Back, R & Back, K. (1986). Assertiveness at Work – A Practical guide to Handling Awkward Situations. Davis, M., Eshelman, E.R. & McKay, M. (2000). The Relaxation and Stress Reducti"
Assertiveness,santum_ai_cbt_assertiveness_vector_index_v1_EMBED_READY.json,cbt_assertiveness_m08_cbt_exercise_006,cbt_assertiveness,compliments,cbt_exercise,low,deny,allow,allow,upgrade_prompt,explicit_cbt_exercise,Module summary • We are all disappointed at some time in our lives • As with other unassertive behaviour how we think about being criticised can lead us to respond in a passive or 
Assertiveness,santum_ai_cbt_assertiveness_vector_index_v1_EMBED_READY.json,cbt_assertiveness_m09_cbt_exercise_007,cbt_assertiveness,compliments,cbt_exercise,low,deny,allow,allow,upgrade_prompt,explicit_cbt_exercise,If that were the case I would already be complimenting myself! • People give compliments for a variety of reasons. Don’t waste a lot of time wondering why someone gave you a compli
Assertiveness,santum_ai_cbt_assertiveness_vector_index_v1_EMBED_READY.json,cbt_assertiveness_m09_cbt_exercise_008,cbt_assertiveness,compliments,cbt_exercise,low,deny,allow,allow,upgrade_prompt,explicit_cbt_exercise,A compliment is intended to make you feel good. If you frown or look down or away the other person may be confused or uncomfortable. Centrelinical for C Interventions • • ---------
Assertiveness,santum_ai_cbt_assertiveness_vector_index_v1_EMBED_READY.json,cbt_assertiveness_m09_cbt_exercise_011,cbt_assertiveness,compliments,cbt_exercise,low,deny,allow,allow,upgrade_prompt,explicit_cbt_exercise,"Commenting on a colleague's new hair colour is fine, but mentioning it to your boss could be stepping out of bounds. • Ask a question with your compliment. If you want to use the c"
Assertiveness,santum_ai_cbt_assertiveness_vector_index_v1_EMBED_READY.json,cbt_assertiveness_m09_cbt_exercise_012,cbt_assertiveness,compliments,cbt_exercise,low,deny,allow,allow,upgrade_prompt,explicit_cbt_exercise,Module summary • It is an important assertiveness and social skill to be able to receive and give compliments. • As with the other assertiveness skills there can be some unhelpful 
Assertiveness,santum_ai_cbt_assertiveness_vector_index_v1_EMBED_READY.json,cbt_assertiveness_m10_cbt_exercise_003,cbt_assertiveness,nonverbal_assertiveness,cbt_exercise,low,deny,allow,allow,upgrade_prompt,explicit_cbt_exercise,Identify any unhelpful behaviour you have been using when you have tried to do the task before. Remember to look at both verbal and non-verbal behaviour. Come up with a more helpfu
Assertiveness,santum_ai_cbt_assertiveness_vector_index_v1_EMBED_READY.json,cbt_assertiveness_m10_cbt_exercise_004,cbt_assertiveness,dealing_with_criticism,cbt_exercise,low,deny,allow,allow,upgrade_prompt,explicit_cbt_exercise,"This can be at home, at work, with friends or out in public. You will have got some ideas from the exercise “Rating your assertiveness in different situations?” that you completed "
Assertiveness,santum_ai_cbt_assertiveness_vector_index_v1_EMBED_READY.json,cbt_assertiveness_m10_cbt_exercise_009,cbt_assertiveness,maintenance_plan,cbt_exercise,low,deny,allow,allow,upgrade_prompt,explicit_cbt_exercise,"Identify and Change any Unhelpful Behaviour The person who wrote the hierarchy above recognised that when she asked the kids to do their chores she would usually feel guilty, apolo"
Assertiveness,santum_ai_cbt_assertiveness_vector_index_v1_EMBED_READY.json,cbt_assertiveness_m10_cbt_exercise_010,cbt_assertiveness,unhelpful_beliefs,cbt_exercise,low,deny,allow,allow,upgrade_prompt,explicit_cbt_exercise,Centrelinical for C Interventions • • --------------------------------------------------------------------------------------------------------------ASSERT YOURSELF! Now that you ha
Assertiveness,santum_ai_cbt_assertiveness_vector_index_v1_EMBED_READY.json,cbt_assertiveness_m10_cbt_exercise_011,cbt_assertiveness,saying_no,cbt_exercise,low,deny,allow,allow,upgrade_prompt,explicit_cbt_exercise,Rating your assertiveness in different situations Fill in each cell using a scale from 0 to 5. A rating of 0 means you can assert yourself with no problem. A rating of 5 means that
Assertiveness,santum_ai_cbt_assertiveness_vector_index_v1_EMBED_READY.json,cbt_assertiveness_m10_cbt_exercise_013,cbt_assertiveness,saying_no,cbt_exercise,low,deny,allow,allow,upgrade_prompt,explicit_cbt_exercise,"Impact, San Luis Obispo, California. Back, R & Back, K. (1986). Assertiveness at Work – A Practical guide to Handling Awkward Situations. Davis, M., Eshelman, E.R. & McKay, M. (200"
Assertiveness,santum_ai_cbt_assertiveness_vector_index_v1_EMBED_READY.json,cbt_assertiveness_worksheet_001,cbt_assertiveness,assertive_communication_plan,worksheet_instruction,low,deny,allow,allow,upgrade_prompt,explicit_worksheet_instruction,"An assertive communication plan helps the user prepare a clear and respectful message. Record the situation, the main feeling, the need or boundary, and the specific request. Then "
Assertiveness,santum_ai_cbt_assertiveness_vector_index_v1_EMBED_READY.json,cbt_assertiveness_worksheet_002,cbt_assertiveness,saying_no_script,worksheet_instruction,low,deny,allow,allow,upgrade_prompt,explicit_worksheet_instruction,"A saying-no script helps the user set limits without excessive explanation. Write the request being made, the reason it is difficult to say no, and the boundary the user wants to p"
Assertiveness,santum_ai_cbt_assertiveness_vector_index_v1_EMBED_READY.json,cbt_assertiveness_worksheet_003,cbt_assertiveness,criticism_response_record,worksheet_instruction,low,deny,allow,allow,upgrade_prompt,explicit_worksheet_instruction,"A criticism response record helps the user respond to feedback without collapsing, attacking, or becoming defensive. Record what was said, what part may be useful, what part may be"
Assertiveness,santum_ai_cbt_assertiveness_vector_index_v1_EMBED_READY.json,cbt_assertiveness_worksheet_004,cbt_assertiveness,assertive_belief_challenge,worksheet_instruction,low,deny,allow,allow,upgrade_prompt,explicit_worksheet_instruction,"An assertive belief challenge identifies thoughts that block speaking up, such as 'I must please everyone' or 'People will reject me if I disagree.' Write the belief, the fear behi"
Assertiveness,santum_ai_cbt_assertiveness_vector_index_v1_EMBED_READY.json,cbt_assertiveness_worksheet_005,cbt_assertiveness,practice_and_maintenance_plan,worksheet_instruction,low,deny,allow,allow,upgrade_prompt,explicit_worksheet_instruction,"A practice and maintenance plan helps assertiveness become a skill rather than a one-time conversation. List three low-risk situations for practice, one medium-difficulty situation"
Bipolar Support / Keeping Your Balance,santum_ai_cbt_bipolar_support_vector_index_v1_EMBED_READY.json,cbt_bipolar_m01_cbt_exercise_004,cbt_bipolar_support,early_warning_signs,cbt_exercise,medium,deny,allow,allow,upgrade_prompt,explicit_cbt_exercise,"Because of this rapid thought process, they become easily angered when people don’t seem to comprehend their ideas or enthusiasm for some new scheme. Decreased need for sleep One o"
Bipolar Support / Keeping Your Balance,santum_ai_cbt_bipolar_support_vector_index_v1_EMBED_READY.json,cbt_bipolar_m01_cbt_exercise_014,cbt_bipolar_support,routine_support,cbt_exercise,medium,deny,allow,allow,upgrade_prompt,explicit_cbt_exercise,The occurrence of bipolar disorder can thus be explained as an interaction of the 3 above factors. A person who is genetically and/or biologically vulnerable may not necessarily de
Bipolar Support / Keeping Your Balance,santum_ai_cbt_bipolar_support_vector_index_v1_EMBED_READY.json,cbt_bipolar_m01_cbt_exercise_021,cbt_bipolar_support,treatment_options,cbt_exercise,medium,deny,allow,allow,upgrade_prompt,explicit_cbt_exercise,"New York: The Guildford Press Bauer, M.S. & McBride, L. (2003) Structured Group Psychotherapy for Bipolar Disorder: The Life Goals Program (Second Edition). New York: Springer Publ"
Bipolar Support / Keeping Your Balance,santum_ai_cbt_bipolar_support_vector_index_v1_EMBED_READY.json,cbt_bipolar_m02_cbt_exercise_002,cbt_bipolar_support,medication_psychoeducation,cbt_exercise,medium,deny,allow,allow,upgrade_prompt,explicit_cbt_exercise,"Some patients may respond well and experience few side effects with one type of medication, while others may do better with another. Thus, when taking medication, it is important t"
Bipolar Support / Keeping Your Balance,santum_ai_cbt_bipolar_support_vector_index_v1_EMBED_READY.json,cbt_bipolar_m02_cbt_exercise_003,cbt_bipolar_support,medication_psychoeducation,cbt_exercise,medium,deny,allow,allow,upgrade_prompt,explicit_cbt_exercise,You should report all other medications and substances you are taking to your doctor to ensure that none adversely interact with the medication prescribed for bipolar disorder. Res
Bipolar Support / Keeping Your Balance,santum_ai_cbt_bipolar_support_vector_index_v1_EMBED_READY.json,cbt_bipolar_m02_cbt_exercise_009,cbt_bipolar_support,medication_psychoeducation,cbt_exercise,medium,deny,allow,allow,upgrade_prompt,explicit_cbt_exercise,"These can be used in combination with mood stabilisers to assist in controlling psychotic symptoms such as hallucinations, or delusions, to induce sleep, or decrease irritability o"
Bipolar Support / Keeping Your Balance,santum_ai_cbt_bipolar_support_vector_index_v1_EMBED_READY.json,cbt_bipolar_m02_cbt_exercise_011,cbt_bipolar_support,medication_psychoeducation,cbt_exercise,medium,deny,allow,allow,upgrade_prompt,explicit_cbt_exercise,"It is particularly important to take into account the following factors … • To help your doctor choose the most suitable medications for you, they should be made aware of any other"
Bipolar Support / Keeping Your Balance,santum_ai_cbt_bipolar_support_vector_index_v1_EMBED_READY.json,cbt_bipolar_m02_cbt_exercise_014,cbt_bipolar_support,medication_psychoeducation,cbt_exercise,medium,deny,allow,allow,upgrade_prompt,explicit_cbt_exercise,"Although effective medications have been found for bipolar disorder, many patients still experience episode recurrences and relapse. Some experience between-episode symptoms that m"
Bipolar Support / Keeping Your Balance,santum_ai_cbt_bipolar_support_vector_index_v1_EMBED_READY.json,cbt_bipolar_m02_cbt_exercise_016,cbt_bipolar_support,treatment_options,cbt_exercise,medium,deny,allow,allow,upgrade_prompt,explicit_cbt_exercise,CBT can play a role in teaching bipolar patients about their disorder and helping them deal with adjustment difficulties. CBT can also help patients cope with everyday stressors th
Bipolar Support / Keeping Your Balance,santum_ai_cbt_bipolar_support_vector_index_v1_EMBED_READY.json,cbt_bipolar_m02_cbt_exercise_020,cbt_bipolar_support,medication_psychoeducation,cbt_exercise,medium,deny,allow,allow,upgrade_prompt,explicit_cbt_exercise,Treatment Options for Bipolar Disorder • Psychotherapy • Research • Training Treatment Options for Bipolar Disorder About The Modules Contributors Laura Smith (MPsych1) Dr Louella 
Bipolar Support / Keeping Your Balance,santum_ai_cbt_bipolar_support_vector_index_v1_EMBED_READY.json,cbt_bipolar_m03_cbt_exercise_003,cbt_bipolar_support,self_monitoring,cbt_exercise,medium,deny,allow,allow,upgrade_prompt,explicit_cbt_exercise,Each person has their own unique set of signs and symptoms although many will be common to other patients. It is not enough to be able to recognise and detect early warning signs a
Bipolar Support / Keeping Your Balance,santum_ai_cbt_bipolar_support_vector_index_v1_EMBED_READY.json,cbt_bipolar_m03_cbt_exercise_007,cbt_bipolar_support,early_warning_signs,cbt_exercise,medium,deny,allow,allow,upgrade_prompt,explicit_cbt_exercise,Some patients may think that they are not able to predict an episode but researchers have found that many bipolar patients are able to recall early warning symptoms that come befor
Bipolar Support / Keeping Your Balance,santum_ai_cbt_bipolar_support_vector_index_v1_EMBED_READY.json,cbt_bipolar_m03_cbt_exercise_009,cbt_bipolar_support,early_warning_signs,cbt_exercise,medium,deny,allow,allow,upgrade_prompt,explicit_cbt_exercise,Planning Early Interventions The next step is to develop an action plan that details what you will do when you recognise the early warning signs and symptoms of a major depressive 
Bipolar Support / Keeping Your Balance,santum_ai_cbt_bipolar_support_vector_index_v1_EMBED_READY.json,cbt_bipolar_m03_cbt_exercise_016,cbt_bipolar_support,self_monitoring,cbt_exercise,medium,deny,allow,allow,upgrade_prompt,explicit_cbt_exercise,"Is there anything or any event that might have triggered a mood episode? Once you become more aware of the things that affect you and your moods, you can take steps to be better pr"
Bipolar Support / Keeping Your Balance,santum_ai_cbt_bipolar_support_vector_index_v1_EMBED_READY.json,cbt_bipolar_m03_cbt_exercise_018,cbt_bipolar_support,early_warning_signs,cbt_exercise,medium,deny,allow,allow,upgrade_prompt,explicit_cbt_exercise,"or mixed episode that interfere with most of your day-to-day activities • Bipolar patients commonly report increased activity, decreased need for sleep, and elevated mood as early "
Bipolar Support / Keeping Your Balance,santum_ai_cbt_bipolar_support_vector_index_v1_EMBED_READY.json,cbt_bipolar_m04_cbt_exercise_010,cbt_bipolar_support,treatment_options,cbt_exercise,medium,deny,allow,allow,upgrade_prompt,explicit_cbt_exercise,"Taking a sauna, spa or a steam bath 63. Having a video call with someone who lives far 64. Doing the dishes away 65. Sitting outside and listening to birds sing 22. Going to a free"
Bipolar Support / Keeping Your Balance,santum_ai_cbt_bipolar_support_vector_index_v1_EMBED_READY.json,cbt_bipolar_m04_cbt_exercise_012,cbt_bipolar_support,behavioural_strategies_depression,cbt_exercise,medium,deny,allow,allow,upgrade_prompt,explicit_cbt_exercise,Working on my car or bicycle 102. Going to the botanic gardens 148. Juggling or learning to juggle 103. Going to a scenic spot and enjoying the view 149. Contacting an old school f
Bipolar Support / Keeping Your Balance,santum_ai_cbt_bipolar_support_vector_index_v1_EMBED_READY.json,cbt_bipolar_m04_cbt_exercise_013,cbt_bipolar_support,support_plan,cbt_exercise,medium,deny,allow,allow,upgrade_prompt,explicit_cbt_exercise,"Getting an indoor plant 117. Putting a vase of fresh flowers in my house 164. Doing embroidery, cross stitching 119. Participating in a protest I support 165. Browsing a hardware s"
Bipolar Support / Keeping Your Balance,santum_ai_cbt_bipolar_support_vector_index_v1_EMBED_READY.json,cbt_bipolar_m04_cbt_exercise_015,cbt_bipolar_support,depression_coping,cbt_exercise,medium,deny,allow,allow,upgrade_prompt,explicit_cbt_exercise,"Sending a handwritten letter mystery) 236. Going hiking, bush walking 191. Pampering myself at home (e.g. putting on a 193. Meeting new people face mask) 194. Doing 5 minutes of ca"
Bipolar Support / Keeping Your Balance,santum_ai_cbt_bipolar_support_vector_index_v1_EMBED_READY.json,cbt_bipolar_m04_cbt_exercise_016,cbt_bipolar_support,behavioural_strategies_depression,cbt_exercise,medium,deny,allow,allow,upgrade_prompt,explicit_cbt_exercise,"Making a playlist of upbeat songs cutlery, jewellery, clothes, souvenir mugs) 207. Doing a DIY project (e.g. making homemade 208. Playing laser tag or paintball soap, making a mosa"
Bipolar Support / Keeping Your Balance,santum_ai_cbt_bipolar_support_vector_index_v1_EMBED_READY.json,cbt_bipolar_m04_cbt_exercise_021,cbt_bipolar_support,activity_scheduling,cbt_exercise,medium,deny,allow,allow,upgrade_prompt,explicit_cbt_exercise,"perpetuate the depression and prevent the depressed person from feeling better • A lack of motivation and energy can result in a person becoming less • active, which can cause furt"
Bipolar Support / Keeping Your Balance,santum_ai_cbt_bipolar_support_vector_index_v1_EMBED_READY.json,cbt_bipolar_m05_cbt_exercise_005,cbt_bipolar_support,thought_challenging,cbt_exercise,medium,deny,allow,allow,upgrade_prompt,explicit_cbt_exercise,"We might be used to talking about thoughts and feelings as being part of the same experience, but it is more helpful to separate them and remember that feelings are not thoughts. F"
Bipolar Support / Keeping Your Balance,santum_ai_cbt_bipolar_support_vector_index_v1_EMBED_READY.json,cbt_bipolar_m05_cbt_exercise_011,cbt_bipolar_support,depression_coping,cbt_exercise,medium,deny,allow,allow,upgrade_prompt,explicit_cbt_exercise,"There are lots of things you can do to help yourself feel better, and this next suggestion has been proven to be pretty effective. If unhelpful thoughts lead to distressing emotion"
Bipolar Support / Keeping Your Balance,santum_ai_cbt_bipolar_support_vector_index_v1_EMBED_READY.json,cbt_bipolar_m05_cbt_exercise_012,cbt_bipolar_support,thought_challenging,cbt_exercise,medium,deny,allow,allow,upgrade_prompt,explicit_cbt_exercise,"The next step is to challenge your thinking by exploring other possible explanations and looking at a situation from different points of view. You might ask yourself, “What other w"
Bipolar Support / Keeping Your Balance,santum_ai_cbt_bipolar_support_vector_index_v1_EMBED_READY.json,cbt_bipolar_m05_cbt_exercise_016,cbt_bipolar_support,thought_challenging,cbt_exercise,medium,deny,allow,allow,upgrade_prompt,explicit_cbt_exercise,These are called unhelpful thoughts because they lead to unpleasant feelings or unhelpful actions • Unhelpful thoughts are those that tend to focus on one aspect of a situation (us
Bipolar Support / Keeping Your Balance,santum_ai_cbt_bipolar_support_vector_index_v1_EMBED_READY.json,cbt_bipolar_m06_cbt_exercise_004,cbt_bipolar_support,sleep_routine,cbt_exercise,medium,deny,allow,allow,upgrade_prompt,explicit_cbt_exercise,"This is often accompanied by beliefs that include overestimating their abilities, an optimism that causes them to view the world as particularly helpful, or an underestimation of t"
Bipolar Support / Keeping Your Balance,santum_ai_cbt_bipolar_support_vector_index_v1_EMBED_READY.json,cbt_bipolar_m06_cbt_exercise_008,cbt_bipolar_support,cognitive_strategies_mania,cbt_exercise,medium,deny,allow,allow,upgrade_prompt,explicit_cbt_exercise,"Organising and scheduling of activities, ideas, or plans with the aim of limiting and containing overly- stimulating activities. In this module, let’s look at how you can learn to "
Bipolar Support / Keeping Your Balance,santum_ai_cbt_bipolar_support_vector_index_v1_EMBED_READY.json,cbt_bipolar_m07_cbt_exercise_002,cbt_bipolar_support,self_monitoring,cbt_exercise,medium,deny,allow,allow,upgrade_prompt,explicit_cbt_exercise,"These changes in activity levels usually begins slowly and builds over time. As such, activity levels can be used as a measure for tracking the progression of the elevation in mood"
